task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	d1/fd498b	687328	fastqc (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 09:44:03.228	2m 35s	2m 27s	101.1%	404.6 MB	3.1 GB	1.7 GB	1.8 MB
9	00/d99753	687335	fastqc (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 09:44:03.315	2m 35s	2m 31s	100.4%	398.6 MB	3.2 GB	1.8 GB	1.8 MB
6	84/242de2	687330	fastqc (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 09:44:03.256	2m 40s	2m 35s	100.8%	405 MB	3.3 GB	1.8 GB	1.8 MB
11	ea/6e5bb5	687336	fastqc (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 09:44:03.325	2m 40s	2m 32s	100.6%	404.6 MB	3.2 GB	1.8 GB	1.8 MB
19	b4/151de2	687351	trim_galore (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-10 09:44:03.495	6m 10s	6m 1s	147.3%	233.2 MB	3 GB	11.2 GB	10.3 GB
24	99/fd39b9	687343	trim_galore (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 09:44:03.407	6m 25s	6m 20s	151.6%	228.4 MB	3 GB	11.6 GB	10.6 GB
20	74/6d293e	687347	trim_galore (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-10 09:44:03.451	6m 25s	6m 19s	146.8%	230.9 MB	3 GB	11.6 GB	10.7 GB
22	55/593845	687354	trim_galore (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-10 09:44:03.534	6m 25s	6m 17s	152.9%	246.7 MB	3 GB	11.6 GB	10.6 GB
25	a6/d32076	687350	trim_galore (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:44:03.484	6m 30s	6m 23s	148.8%	231.8 MB	3 GB	11.8 GB	10.8 GB
16	a2/814823	687352	trim_galore (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-10 09:44:03.507	6m 30s	6m 21s	147.9%	233.9 MB	3 GB	11.9 GB	11 GB
27	bc/c2027d	687342	trim_galore (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-10 09:44:03.394	6m 45s	6m 39s	148.1%	235.9 MB	3 GB	12.5 GB	11.4 GB
29	b9/59dcb6	687356	makeHISATindex (danio_ercc.fasta)	COMPLETED	0	2023-01-10 09:44:18.041	7m 20s	7m 14s	370.2%	9.4 GB	14.1 GB	9.4 GB	8.6 GB
31	98/b11a07	687452	hisat2Align (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 09:51:38.209	2m 15s	2m 6s	909.6%	2.9 GB	4.7 GB	12.3 GB	7.8 GB
